trial,M1,M2,HungarianD,HungarianPD,M3,M4,M4*
143,18.53628295599306,2.4017844737787417,6.026823689836694,8.742986629288042,7.742986629288043,5.150940842638715,1.5217240617681491
144,35.8629406112124,1.0,1.0,2.0,1.0,1.0,1.0
145,57.97673204428052,5.1935534664338565,6.197820265368665,12.784165530141808,11.784165530141806,5.1935534664338565,2.567405688685266
146,9.33650008576957,1.0801201993311504,5.736027179007019,9.776358150030275,3.0080420790141207,1.0801201993311504,3.592810202119774
147,4.887908413792822,1.512080476594305,5.114692862345937,8.70017872464936,7.700178724649361,1.512080476594305,1.545966323417537
148,29.234603300706045,4.667331563657661,1.9596437370201423,2.959643737020143,1.9596437370201423,6.340608647823973,6.340608647823973
149,17.32482396843631,1.5244784281739319,5.434852109711737,8.508563944922692,7.508563944922693,1.5244784281739319,2.0133005658796637
150,20.02987419381512,7.956643284348354,1.0,4.282012565891838,3.2820125658918378,7.956643284348354,6.3125276356627795
151,15.921836552774792,1.171990387150404,12.496022753457272,4.723762918941038,3.723762918941038,1.171990387150404,1.171990387150404
152,17.80730788617127,1.0217974791709301,5.040996314259559,3.983640418856082,2.983640418856082,1.0217974791709301,1.0217974791709301
153,10.338079716236837,1.0306700466262173,1.793353395689813,2.1760205405507858,1.1760205405507855,1.0306700466262173,1.2906689478323612
154,9.263291504311352,2.700090747564828,11.790628753058343,7.317256816688702,6.574711974224404,2.996542634433112,2.7730573130047125
155,3.1998224668441684,1.2962179613914753,9.673122002392793,7.091688994150715,5.938469280416649,1.2962179613914753,1.6525480230655858
156,3.844826616369516,2.330280541875281,3.7064554728538326,5.725031931496344,10.12930995164588,2.688506640316416,2.688506640316416
157,12.35509706974254,12.013161295908494,1.3193147662568812,2.638629532513762,3.3933192844108535,6.082458302224835,1.0
158,10.33213775261542,2.8388552527430955,5.191613952759892,13.872283197667278,10.519088592163508,2.8388552527430955,2.8388552527430955
159,16.403545070158753,2.159445070091693,7.24967667572572,4.953837374047155,3.795534602917176,2.159445070091693,2.159445070091693
160,11.324096424458277,1.126165082545727,11.39996379815393,13.412747321778784,12.392093113873157,1.126165082545727,1.126165082545727
161,12.244962442923253,9.382235927119634,5.4524480487817755,2.98107485406988,4.5310110151604786,6.241704210459229,6.241704210459229
162,3.5061486548166783,1.1526401262566837,11.559245911897527,8.105066592361803,6.479041061247693,1.1526401262566837,1.1526401262566837
163,21.637098249885277,1.0334736895072045,4.305446011100279,4.897342556998937,3.8318314804949063,2.2030469097188807,2.23687092773967
164,28.97395709118463,2.18813949649331,7.910700758421529,6.7122409934701315,5.712240993470132,3.6979301623116934,3.6979301623116934
165,27.919806026557332,1.8046427512121135,5.633887262312755,4.7660570981025625,3.7660570981025625,1.8046427512121135,1.8046427512121135
166,24.658804027483548,7.285790894945668,11.250960463110024,12.919976335948686,17.137419505615544,9.864584705573256,1.8346478443087058
167,24.896785979436213,1.0701416130655743,2.1002204889779614,3.1002204889779614,2.1002204889779614,1.0701416130655743,1.0701416130655743
