trial,alpha_1.0,alpha_1.5,alpha_2.0,alpha_2.5,alpha_3.0,adaptive
348,4.66120582427609,7.305708620669905,7.305708620669905,4.593425950325453,4.593425950325453,4.66120582427609
349,1.1647896904065473,1.1647896904065473,1.1647896904065473,1.1647896904065473,1.1647896904065473,1.1647896904065473
350,6.161159799591698,5.320422725708052,5.320422725708052,5.320422725708052,5.320422725708052,6.161159799591698
351,9.54953071202445,1.0,1.0,1.0,1.0,9.54953071202445
352,3.073025302503847,2.943565139718655,2.744584396902279,2.744584396902279,2.744584396902279,3.073025302503847
353,4.437034815270395,6.679117828774116,4.193364561533227,4.132129380888388,4.144864283682488,4.437034815270395
354,1.4042876768801846,4.3022674674702985,3.9391623474572843,3.223503424707399,1.703012439037506,1.598420109410766
355,2.297168553968514,2.297168553968514,2.297168553968514,2.297168553968514,2.297168553968514,2.297168553968514
356,2.6804367488525664,2.6804367488525664,2.6804367488525664,1.0,1.0,2.6804367488525664
357,3.9893388843591358,1.5021127835745058,6.352978889751119,3.9346183381251447,3.9571202860828216,6.3095543228843
358,1.0584175379272216,1.0714605981626166,1.0841272442004857,1.0841272442004857,1.0841272442004857,3.1789336036696714
359,1.299615537870546,5.651623084985531,5.651623084985531,5.651623084985531,5.651623084985531,5.338256158015376
360,6.3696410435169435,10.569348282486635,5.742848384010317,5.742848384010317,5.742848384010317,6.3696410435169435
361,1.269858727736882,1.8707540587890281,1.8707540587890281,1.9389422585861589,1.9389422585861589,1.269858727736882
362,5.072675925069899,5.072675925069899,5.072675925069899,5.072675925069899,5.072675925069899,5.072675925069899
363,1.6945614103826865,1.8330834317378384,4.642785465004208,4.5226049309979075,4.5226049309979075,3.5186478711431772
364,7.150000397293929,1.8416847614918859,1.8416847614918859,1.8416847614918859,1.8416847614918859,1.8416847614918859
365,4.798396225339352,4.798396225339352,4.040117965735479,4.040117965735479,4.040117965735479,4.798396225339352
366,3.0195135265456234,2.1936463055539885,2.1936463055539885,2.1936463055539885,2.1936463055539885,2.1936463055539885
367,3.6873205780221583,3.8299406049120983,3.8299406049120983,3.8399869448746142,3.8399869448746142,3.228602611390234
368,4.0211248294095805,3.89245624928625,3.8938910647068434,3.8938910647068434,3.9171209939010976,4.0211248294095805
369,1.999042812633008,1.999042812633008,1.999042812633008,1.999042812633008,1.999042812633008,1.999042812633008
370,1.0,1.0,1.0,1.0,1.0,1.0
371,4.999833943271086,3.0067081555332194,4.9460044638651235,4.9460044638651235,4.9460044638651235,5.030850403548661
372,1.0006661012920626,1.0006661012920626,1.0006661012920626,1.0006661012920626,1.0006661012920626,1.0006661012920626
373,2.65957720340664,5.264966112712259,5.264966112712259,2.1350413127995442,2.1350413127995442,5.414226613089726
374,1.9729883132627086,6.398425858047269,6.398425858047269,6.398425858047269,6.398425858047269,1.9729883132627086
375,3.8081011868949446,3.8081011868949446,3.8081011868949446,3.8081011868949446,2.8045900487097857,3.8081011868949446
376,1.160004272588795,1.160004272588795,1.160004272588795,1.160004272588795,1.2410976592058913,1.160004272588795
377,3.4434307303922367,6.126136330743441,6.126136330743441,1.0458711285451172,1.0458711285451172,3.4434307303922367
378,1.559858880683215,1.559858880683215,1.742880334699935,1.742880334699935,1.742880334699935,1.559858880683215
379,1.558821673033009,1.558821673033009,1.558821673033009,1.6858424035257171,1.6858424035257171,1.558821673033009
380,4.53482785717768,4.53482785717768,4.608159352362014,4.56402540999626,4.56402540999626,4.53482785717768
381,4.675740831847533,4.859236857667612,4.666984655098955,4.7783058909100635,4.653387028217087,4.697963373267552
382,5.932165468785286,6.533662356244497,6.4847057667806585,6.695148150379999,6.695148150379999,5.932165468785286
383,4.385444277106267,1.0763916379788037,1.0763916379788037,1.0763916379788037,1.0763916379788037,4.385444277106267
384,2.634195800982198,2.7720544218876153,2.7720544218876153,2.194528773613161,2.194528773613161,2.634195800982198
385,4.819270237166255,5.12226078473364,5.455415536484744,5.45671267002374,5.45671267002374,4.819270237166255
386,1.6721993488901392,1.3110285732490874,1.7985372202501968,1.7985372202501968,1.8149281886766349,1.8479912849896523
387,4.503902967717813,5.537938021179954,5.537938021179954,5.537938021179954,5.537938021179954,5.079897500502465
388,8.073401867009752,8.073401867009752,7.9560103163059654,7.9560103163059654,7.9560103163059654,8.073401867009752
389,2.8366628551330204,5.598620582251042,5.441920485192152,5.371718374753273,5.371718374753273,2.8366628551330204
390,2.614812094055608,2.614812094055608,2.661054393022239,2.661054393022239,2.661054393022239,2.614812094055608
391,3.3386924111899696,3.6941937367354614,3.3207626567141286,3.7614291564881777,3.7614291564881777,3.6941937367354614
392,7.732019779705481,1.6588564139835624,6.998981661291759,5.404682611185926,5.404682611185926,1.6588564139835624
393,2.31856499403087,1.0,1.9160052982404925,4.341376723596295,4.341376723596295,2.31856499403087
394,1.2042637550946222,1.4091098805122555,1.4091098805122555,1.4091098805122555,1.4091098805122555,1.2042637550946222
395,1.0,1.0,1.0,1.0,1.0,1.0
396,3.2064656233367907,5.548869698584165,4.347754124608906,4.314241730837787,4.314241730837787,3.2064656233367907
397,1.5769982550495094,1.5769982550495094,1.5769982550495094,1.5769982550495094,1.5769982550495094,1.5769982550495094
398,1.9719133944584462,1.9719133944584462,1.9719133944584462,1.9719133944584462,1.9719133944584462,1.9719133944584462
399,1.1090535819521532,1.1090535819521532,3.687407681167145,3.687407681167145,3.687407681167145,1.1090535819521532
400,1.5250748801661098,1.5250748801661098,1.5250748801661098,1.5250748801661098,1.5250748801661098,1.5250748801661098
401,1.030061074043033,1.030061074043033,1.0984111171938835,1.0984111171938835,1.0984111171938835,1.030061074043033
402,1.0042700978046002,1.049708539903209,1.049708539903209,1.049708539903209,1.049708539903209,1.0042700978046002
403,5.885021261157595,5.895849745487598,5.999461339657129,5.999461339657129,5.999461339657129,5.885021261157595
