trial,model,target_rank_in_tour,tour_length,fcr
169,M4* 2-opt,4,13.89623376785973,1.1604101896240062
170,M4* greedy,5,13.820470765018197,2.0268997318388555
170,M4* 2-opt,6,11.318762815608522,2.2347632966118898
171,M4* greedy,2,13.673168827940351,5.2535918514877835
171,M4* 2-opt,2,13.673168827940351,5.232624245773921
172,M4* greedy,1,12.931237256643104,4.538848287436082
172,M4* 2-opt,1,12.931237256643104,4.538848287436082
173,M4* greedy,8,13.83482387162015,1.5265569250526574
173,M4* 2-opt,5,13.285825071387157,1.1355534743983497
174,M4* greedy,1,13.932732284783814,4.225102297726313
174,M4* 2-opt,1,13.932732284783814,3.844437699697711
175,M4* greedy,1,12.274152156016724,7.2661414195444785
175,M4* 2-opt,1,12.274152156016724,6.967790857567197
176,M4* greedy,4,12.051822154720927,2.4640546956994767
176,M4* 2-opt,2,11.398250867286563,1.8109724672750624
177,M4* greedy,1,7.930389055363088,1.0
177,M4* 2-opt,1,7.930389055363088,1.0
178,M4* greedy,1,12.222327434721427,4.507405894580929
178,M4* 2-opt,1,12.158975863515863,4.4241678434844145
179,M4* greedy,6,13.124101501969875,2.4227121135832395
179,M4* 2-opt,7,11.610172664396522,2.4125822940330535
180,M4* greedy,4,12.170282520871291,1.153305454308819
180,M4* 2-opt,3,11.567267178076905,2.139576633203419
181,M4* greedy,1,10.6744146061701,4.786288687801619
181,M4* 2-opt,1,10.6744146061701,4.728185212999819
182,M4* greedy,2,13.603291227885771,1.1056598332812724
182,M4* 2-opt,2,12.992112400069303,1.1056598332812724
183,M4* greedy,1,12.584390346883305,4.808359018500015
183,M4* 2-opt,1,12.584390346883305,4.250081563098823
184,M4* greedy,6,13.564826481710249,2.2544242085073027
184,M4* 2-opt,3,11.542059827114738,1.5794145967739395
185,M4* greedy,3,13.284545505018105,1.8825658188579946
185,M4* 2-opt,2,12.561633092826135,1.6186886363170063
186,M4* greedy,4,13.974786899877026,1.418857993876979
186,M4* 2-opt,4,13.974786899877026,1.418857993876979
187,M4* greedy,2,13.500997211174163,3.114750963712017
187,M4* 2-opt,2,13.500997211174163,3.114750963712017
188,M4* greedy,5,12.214604368136758,2.5124850062761874
188,M4* 2-opt,5,12.214604368136758,2.5124850062761874
189,M4* greedy,4,12.021719451863136,2.039118363302992
189,M4* 2-opt,7,11.691483942812805,5.460412542073114
190,M4* greedy,2,13.922456255821814,3.720222980930219
190,M4* 2-opt,2,13.922456255821814,3.439226058860624
191,M4* greedy,2,13.9953747452403,1.003262935197775
191,M4* 2-opt,2,13.9953747452403,1.003262935197775
192,M4* greedy,3,11.466768451551516,8.045834121545738
192,M4* 2-opt,3,11.466768451551516,8.045834121545738
193,M4* greedy,5,13.632767994116431,3.1682669634137484
193,M4* 2-opt,5,12.870980444650304,2.935347729627185
194,M4* greedy,4,13.093861791785903,1.6264110972308121
194,M4* 2-opt,3,12.017760029236275,1.5093390821004278
195,M4* greedy,7,12.101847058429751,4.623615938802592
195,M4* 2-opt,4,11.016915611871124,3.4744505837264175
196,M4* greedy,4,13.908231065344555,3.603407659948421
196,M4* 2-opt,4,13.908231065344555,3.5332826583205277
197,M4* greedy,7,13.318209580541549,2.3071343607353416
197,M4* 2-opt,5,11.911365217933618,1.930168913781871
198,M4* greedy,2,13.718196572185834,3.3599058247412157
198,M4* 2-opt,2,13.247102035225282,3.3599058247412157
199,M4* greedy,3,11.387097338030923,1.9751509269363048
199,M4* 2-opt,3,9.734085634946391,1.9751509269363048
200,M4* greedy,2,10.383761894611046,1.1356322973699802
200,M4* 2-opt,3,7.882921637307279,1.3067521695887432
201,M4* greedy,4,13.2741485770718,2.1902507511174654
201,M4* 2-opt,4,13.259627599279977,2.1857681066164427
202,M4* greedy,4,11.309866271259748,6.82059273900195
202,M4* 2-opt,4,10.913841970006617,6.215084613283277
203,M4* greedy,6,13.044159153644015,2.2370587502038988
203,M4* 2-opt,4,11.602741017275468,1.902300331298655
204,M4* greedy,8,13.649613226258882,4.387606489050116
204,M4* 2-opt,2,13.614954626702238,1.2032218434731243
205,M4* greedy,4,13.965351161205657,2.1882288941224335
205,M4* 2-opt,4,13.36092533058158,2.032011828357287
206,M4* greedy,2,10.893562267567171,4.959328754749775
206,M4* 2-opt,2,10.773868157659924,4.7880931954810055
207,M4* greedy,3,13.277516030013878,2.5847777772757254
207,M4* 2-opt,1,11.92717190913411,1.637655937242401
208,M4* greedy,6,12.76077301553728,2.194426980596873
208,M4* 2-opt,6,10.738020357521846,2.046752945419614
209,M4* greedy,1,13.076005365095867,1.0
209,M4* 2-opt,1,10.730400646863945,1.0
210,M4* greedy,2,9.705451702534209,1.6453328607972038
